event_id,event_name,edition_id,edition_name,edition_date,race_id,race_name,race_distance,race_time,edition_address,town_id,town_name,edition_gps,latitude_num,longitude_num,edition_url
,Strand AC 21k,,Leapfrog 21km 2017,2017-04-01,,Half Marathon,21.1,07:00:00,"Gordon's Bay Primary School, Gordon's Bay",,Gordon's Bay,"-34.156250, 18.875271",-34.156250, 18.875271,
,Strand AC 21k,,Leapfrog 21km 2017,2017-04-01,,10k,10,07:30:00,"Gordon's Bay Primary School, Gordon's Bay",,Gordon's Bay,"-34.156250, 18.875271",-34.156250, 18.875271,
,Women's Challenge Cape Town,,SPAR Women's Challenge Cape Town 2017,2017-04-02,,10k Run,10,07:30:00,"Green Point Common Fields, Green Point",,Cape Town,"-33.905019, 18.409718",-33.905019, 18.409718,
,Women's Challenge Cape Town,,SPAR Women's Challenge Cape Town 2017,2017-04-02,,10k Walk,10,07:45:00,"Green Point Common Fields, Green Point",,Cape Town,"-33.905019, 18.409718",-33.905019, 18.409718,
,Women's Challenge Cape Town,,SPAR Women's Challenge Cape Town 2017,2017-04-02,,Fun Run,5,08:00:00,"Green Point Common Fields, Green Point",,Cape Town,"-33.905019, 18.409718",-33.905019, 18.409718,
,Central Athletics 10km Challenge,,Central Athletics 10km Challenge 2017,2017-04-09,,10k,10,07:00:00,"Newlands Cricket Stadium, Newlands",,Cape Town,"-33.973977, 18.469403",-33.973977, 18.469403,
,Central Athletics 10km Challenge,,Central Athletics 10km Challenge 2017,2017-04-09,,Fun Run,5,07:30:00,"Newlands Cricket Stadium, Newlands",,Cape Town,"-33.973977, 18.469403",-33.973977, 18.469403,
,Two Oceans,,Old Mutual Two Oceans 2017,2017-04-15,,Ultra Marathon,56,06:30:00,"Main Road, Newlands",,Cape Town,"-33.973469, 18.464479",-33.973469, 18.464479,http://www.twooceansmarathon.org.za/
,Two Oceans,,Old Mutual Two Oceans 2017,2017-04-15,,Half Marathon,21.1,05:50:00,"Main Road, Newlands",,Cape Town,"-33.973469, 18.464479",-33.973469, 18.464479,http://www.twooceansmarathon.org.za/
,Telkom Athletic Club 10km Challenge,,Telkom Athletic Club 10km Challenge 2017,2017-04-22,,10k Run,10,07:00:00,"CPUT Campus, Symphony Way, Bellville",,Bellville,"-33.932364, 18.638578",-33.932364, 18.638578,
,Telkom Athletic Club 10km Challenge,,Telkom Athletic Club 10km Challenge 2017,2017-04-22,,10k Walk,10,07:10:00,"CPUT Campus, Symphony Way, Bellville",,Bellville,"-33.932364, 18.638578",-33.932364, 18.638578,
,Telkom Athletic Club 10km Challenge,,Telkom Athletic Club 10km Challenge 2017,2017-04-22,,Fun Run,5,08:00:00,"CPUT Campus, Symphony Way, Bellville",,Bellville,"-33.932364, 18.638578",-33.932364, 18.638578,
,Nantes 10km ,,Nantes 10km 2017,2017-04-27,,10k Run,10,07:00:00,"Vangate Sports Complex, Athlone",,Athlone,"-33.963834, 18.538247",-33.963834, 18.538247,
,Nantes 10km ,,Nantes 10km 2017,2017-04-27,,10k Walk,10,07:00:00,"Vangate Sports Complex, Athlone",,Athlone,"-33.963834, 18.538247",-33.963834, 18.538247,
,Nantes 10km ,,Nantes 10km 2017,2017-04-27,,Fun Run,5,07:00:00,"Vangate Sports Complex, Athlone",,Athlone,"-33.963834, 18.538247",-33.963834, 18.538247,
,Voet of the Wine 10 km,,Voet of the Wine 10km 2017,2017-04-30,,10k,10,07:30:00,"Zevenwacht Mall, Kuilsrivier",,Kuils River,"-33.950071, 18.696209",-33.950071, 18.696209,
,Voet of the Wine 10 km,,Voet of the Wine 10km 2017,2017-04-30,,Fun Run,5,07:45:00,"Zevenwacht Mall, Kuilsrivier",,Kuils River,"-33.950071, 18.696209",-33.950071, 18.696209,
