event_id,event_name,edition_id,edition_name,edition_date,race_id,race_name,race_distance,race_time,edition_address,town_id,town_name,edition_gps,latitude_num,longitude_num,edition_url
,Brackenfell 21km,,Brackenfell Pick n Pay Family Store 21km 2017,2017-08-05,,Half Marathon,21.1,07:00:00,"Brackenfell Primary School, Brackenfell",,Brackenfell,"-33.875171, 18.684773",-33.875171, 18.684773,
,Brackenfell 21km,,Brackenfell Pick n Pay Family Store 21km 2017,2017-08-05,,10k,10,07:30:00,"Brackenfell Primary School, Brackenfell",,Brackenfell,"-33.875171, 18.684773",-33.875171, 18.684773,
,Brackenfell 21km,,Brackenfell Pick n Pay Family Store 21km 2017,2017-08-05,,Fun Run,5,07:45:00,"Brackenfell Primary School, Brackenfell",,Brackenfell,"-33.875171, 18.684773",-33.875171, 18.684773,
,Totalsports Women's Race,,Totalsports Women's Race 2017,2017-08-09,,10k,10,08:00:00,"Grand Parade, Cape Town",,Cape Town,"-33.924984, 18.424653",-33.924984, 18.424653,
,Totalsports Women's Race,,Totalsports Women's Race 2017,2017-08-09,,Fun Run,5,08:30:00,"Grand Parade, Cape Town",,Cape Town,"-33.924984, 18.424653",-33.924984, 18.424653,
,Atlantis 21km,,Atlantis 21km 2017,2017-08-19,,Half Marathon,21.1,08:00:00,"Wesfleur Park, Atlantis",,Atlantis,"-33.558543, 18.488747",-33.558543, 18.488747,
,Atlantis 21km,,Atlantis 21km 2017,2017-08-19,,Fun Run,5,08:00:00,"Wesfleur Park, Atlantis",,Atlantis,"-33.558543, 18.488747",-33.558543, 18.488747,
,Khayelitsha 10km,,Khayelitsha 10km 2017,2017-08-26,,10k Run,10,07:30:00,Mandela Park Stadium,,Khayelitsha ,"-34.052541, 18.688032",-34.052541, 18.688032,
,Khayelitsha 10km,,Khayelitsha 10km 2017,2017-08-26,,10k Walk,10,07:30:00,Mandela Park Stadium,,Khayelitsha ,"-34.052541, 18.688032",-34.052541, 18.688032,
,Khayelitsha 10km,,Khayelitsha 10km 2017,2017-08-26,,Fun Run,4,07:30:00,Mandela Park Stadium,,Khayelitsha ,"-34.052541, 18.688032",-34.052541, 18.688032,
,Langebaan 21km,,Langebaan 21km 2017,2017-08-26,,Half Marathon,21.1,08:00:00,"Club Mykonos, Langebaan",,Langebaan,"-33.047684, 18.045199",-33.047684, 18.045199,
,Langebaan 21km,,Langebaan 21km 2017,2017-08-26,,10k,10,08:00:00,"Club Mykonos, Langebaan",,Langebaan,"-33.047684, 18.045199",-33.047684, 18.045199,
,Langebaan 21km,,Langebaan 21km 2017,2017-08-26,,Fun Run,5,08:10:00,"Club Mykonos, Langebaan",,Langebaan,"-33.047684, 18.045199",-33.047684, 18.045199,
