event_id,event_name,edition_id,edition_name,edition_date,race_id,race_name,race_distance,race_time,edition_address,town_id,town_name,edition_gps,latitude_num,longitude_num,edition_url
,Spookhill 15km,,KwikSpar Somerset Spookhill 15km 2017,2017-07-01,,15k,15,08:00:00,"Beaumont Primary School, Somerset West",,Somerset West,"-34.074636, 18.870789",-34.074636, 18.870789,
,Spookhill 15km,,KwikSpar Somerset Spookhill 15km 2017,2017-07-01,,Fun Run,5,08:15:00,"Beaumont Primary School, Somerset West",,Somerset West,"-34.074636, 18.870789",-34.074636, 18.870789,
,Eersterivier 15km,,Eersterivier 15km 2017,2017-07-08,,15k,15,07:15:00,"Stratford Primary School, Eerste River",,Eerste River,"-34.006281, 18.727172",-34.006281, 18.727172,
,Eersterivier 15km,,Eersterivier 15km 2017,2017-07-08,,10k Walk,10,07:30:00,"Stratford Primary School, Eerste River",,Eerste River,"-34.006281, 18.727172",-34.006281, 18.727172,
,Eersterivier 15km,,Eersterivier 15km 2017,2017-07-08,,Fun Run,5,07:45:00,"Stratford Primary School, Eerste River",,Eerste River,"-34.006281, 18.727172",-34.006281, 18.727172,
,Fairbridge Mall 15km,,Fairbridge Mall 15km 2017,2017-07-15,,15k,15,07:15:00,"Fairbridge Mall, Old Paarl Road, Brackenfell",,Brackenfell,"-33.883692, 18.681518",-33.883692, 18.681518,
,Fairbridge Mall 15km,,Fairbridge Mall 15km 2017,2017-07-15,,Fun Run,6,07:25:00,"Fairbridge Mall, Old Paarl Road, Brackenfell",,Brackenfell,"-33.883692, 18.681518",-33.883692, 18.681518,
,Cape Town Festival of Running,,Cape Town Festival of Running 2017,2017-07-22,,100km,100,06:00:00,"Promenade, Sea Point",,Cape Town,"-33.909863, 18.390797",-33.909863, 18.390797,
,Cape Town Festival of Running,,Cape Town Festival of Running 2017,2017-07-22,,50km,50,06:00:00,"Promenade, Sea Point",,Cape Town,"-33.909863, 18.390797",-33.909863, 18.390797,
,Cape Town Festival of Running,,Cape Town Festival of Running 2017,2017-07-22,,5x10k Relay,10,12:00:00,"Promenade, Sea Point",,Cape Town,"-33.909863, 18.390797",-33.909863, 18.390797,
,Cape Town Festival of Running,,Cape Town Festival of Running 2017,2017-07-22,,Half Marathon,21.1,07:00:00,"Promenade, Sea Point",,Cape Town,"-33.909863, 18.390797",-33.909863, 18.390797,
,Pinelands 10km Road Race,,McKenna & Scott Pinelands 10km Road Race 2017,2017-07-30,,10k Run,10,07:30:00,"Lower Oval, Pinelands",,Pinelands,"-33.939439, 18.501378",-33.939439, 18.501378,
,Pinelands 10km Road Race,,McKenna & Scott Pinelands 10km Road Race 2017,2017-07-30,,10k Walk,10,07:30:00,"Lower Oval, Pinelands",,Pinelands,"-33.939439, 18.501378",-33.939439, 18.501378,
,Pinelands 10km Road Race,,McKenna & Scott Pinelands 10km Road Race 2017,2017-07-30,,Fun Run,5,07:35:00,"Lower Oval, Pinelands",,Pinelands,"-33.939439, 18.501378",-33.939439, 18.501378,
