event_id,event_name,edition_id,edition_name,edition_date,race_id,race_name,race_distance,race_time,edition_address,town_id,town_name,edition_gps,latitude_num,longitude_num,edition_url
,Weskus Marathon,,Langebaan Country Estate Weskus Marathon 2017,2017-05-06,,Marathon,42.2,07:30:00,"Langebaan Country Estate, Langebaan",,Langebaan,"-33.074704, 18.055911",-33.074704, 18.055911,
,Weskus Marathon,,Langebaan Country Estate Weskus Marathon 2017,2017-05-06,,Half Marathon,21.1,07:45:00,"Langebaan Country Estate, Langebaan",,Langebaan,"-33.074704, 18.055911",-33.074704, 18.055911,
,Weskus Marathon,,Langebaan Country Estate Weskus Marathon 2017,2017-05-06,,10k,10,08:00:00,"Langebaan Country Estate, Langebaan",,Langebaan,"-33.074704, 18.055911",-33.074704, 18.055911,
,Weskus Marathon,,Langebaan Country Estate Weskus Marathon 2017,2017-05-06,,Fun Run,5,08:00:00,"Langebaan Country Estate, Langebaan",,Langebaan,"-33.074704, 18.055911",-33.074704, 18.055911,
,UCT Memorial 10km Road Race,,UCT Memorial 10km Road Race 2017,2017-05-07,,10k,10,07:15:00,"Middle Campus, UCT, Rondebosch",,Rondebosch,"-33.957397, 18.464656",-33.957397, 18.464656,
,Slave Route Challenge,,Slave Route Challenge 2017,2017-05-14,,Half Marathon,21.1,07:00:00,"Grand Parade, Cape Town",,Cape Town,"-33.924699, 18.424300",-33.924699, 18.424300,
,Slave Route Challenge,,Slave Route Challenge 2017,2017-05-14,,10k,10,07:15:00,"Grand Parade, Cape Town",,Cape Town,"-33.924699, 18.424300",-33.924699, 18.424300,
,Slave Route Challenge,,Slave Route Challenge 2017,2017-05-14,,Fun Run,5,07:30:00,"Grand Parade, Cape Town",,Cape Town,"-33.924699, 18.424300",-33.924699, 18.424300,
,Slave Route Challenge,,Slave Route Challenge 2017,2017-05-14,,10k Walk,10,07:45:00,"Grand Parade, Cape Town",,Cape Town,"-33.924699, 18.424300",-33.924699, 18.424300,
,Cape Town 12 ONERUN,,FNB Cape Town 12 ONERUN 2017,2017-05-21,,OneRun,12,09:00:00,"Milnerton, Cape Town",,Cape Town,"-33.883641, 18.491377",-33.883641, 18.491377,https://www.thecapetown12.com/
