event_id,event_name,edition_id,edition_name,edition_date,race_id,race_name,race_distance,race_time_start,edition_address,town_id,town_name,edition_gps,latitude_num,longitude_num,edition_url
,Table View High School 10km,,Table View High School 10km 2017,2017/11/04,,,10,07:00:00,"Table View High School, Janssens Ave, Table View",,Cape Town,"-33.831158, 18.498170",-33.831158,18.49817,
,Table View High School 10km,,Table View High School 10km 2017,2017/11/04,,,5,07:15:00,"Table View High School, Janssens Ave, Table View",,Cape Town,"-33.831158, 18.498170",-33.831158,18.49817,
,The Landmarks 21km,,The Landmarks 21km 2017,2017/11/05,,,21.1,06:00:00,"WPCC Sport Centre, Keurboom Road, Rondebosch",,Cape Town,"-33.976020, 18.480114",-33.97602,18.480114,
,The Landmarks 21km,,The Landmarks 21km 2017,2017/11/05,,Fun Run,6,06:00:00,"WPCC Sport Centre, Keurboom Road, Rondebosch",,Cape Town,"-33.976020, 18.480114",-33.97602,18.480114,
139,Winelands Marathon,,Winelands Marathon 2017,2017/11/11,,Marathon,42.2,05:30:00,"Eikestad Primary School, Stellenbosch",,Stellenbosch,"-33.945392, 18.854379",-33.945392,18.854379,
139,Winelands Marathon,,Winelands Marathon 2017,2017/11/11,,Half-Marathon,21.1,05:45:00,"Eikestad Primary School, Stellenbosch",,Stellenbosch,"-33.945392, 18.854379",-33.945392,18.854379,
142,Edgemead 10km Classic,,Edgemead 10km Classic 2017,2017/11/18,,Classic,10,06:30:00,"Edgemead High School, Edgemead",,Cape Town,"-33.872557, 18.551191",-33.872557,18.551191,
142,Edgemead 10km Classic,,Edgemead 10km Classic 2017,2017/11/18,,Classic Walk,10,06:30:00,"Edgemead High School, Edgemead",,Cape Town,"-33.872557, 18.551191",-33.872557,18.551191,
142,Edgemead 10km Classic,,Edgemead 10km Classic 2017,2017/11/18,,Fun Run,5,06:45:00,"Edgemead High School, Edgemead",,Cape Town,"-33.872557, 18.551191",-33.872557,18.551191,
,Niel Joubert Plaaswedloop,,Sanlam Niel Joubert Plaaswedloop 2017,2017/11/22,,,13,18:15:00,"Klein Simonsvlei, Klapmuts",,Stellenbosch,"-33.831120, 18.901233",-33.83112,18.901233,
140,Mitchells Plain Half Marathon,,Mitchells Plain Half Marathon 2017,2017/11/25,,,21.1,06:00:00,"Rocklands Sports Ground, Mitchells Plain",,Cape Town,"-34.069748, 18.607293",-34.069748,18.607293,
140,Mitchells Plain Half Marathon,,Mitchells Plain Half Marathon 2017,2017/11/25,,,10,06:15:00,"Rocklands Sports Ground, Mitchells Plain",,Cape Town,"-34.069748, 18.607293",-34.069748,18.607293,
140,Mitchells Plain Half Marathon,,Mitchells Plain Half Marathon 2017,2017/11/25,,,5,08:00:00,"Rocklands Sports Ground, Mitchells Plain",,Cape Town,"-34.069748, 18.607293",-34.069748,18.607293,
,Correctional Services 10km Night Race,,Correctional Services 10km Night Race 2017,2017/11/29,,,10,18:15:00,Pollsmoor Correctional Services Sports Grounds,,Cape Town,"-34.068386, 18.431787",-34.068386,18.431787,
