event_id,event_name,edition_id,edition_name,edition_date,race_id,race_name,race_distance,race_time,edition_address,town_id,town_name,edition_gps,latitude_num,longitude_num,edition_url
,Grape Run,,K-Way Grape Run 2017,2017-10-01,,,21,06:00:00,"Alphen Hall, Constantia",,Constantia,"-34.019522, 18.445900",-34.019522, 18.445900,
,Grape Run,,K-Way Grape Run 2017,2017-10-01,,,5,06:35:00,"Alphen Hall, Constantia",,Constantia,"-34.019522, 18.445901",-34.019522, 18.445901,
,Grape Run,,K-Way Grape Run 2017,2017-10-01,,,14,07:00:00,"Alphen Hall, Constantia",,Constantia,"-34.019522, 18.445902",-34.019522, 18.445902,
,Bakgat 10km,,Bakgat 10km 2017,2017-10-04,,,10,18:15:00,"Zone Fitness, Bellville",,Cape Town,"-33.906174, 18.641971",-33.906174, 18.641971,
,Gun Run,,Outsurance 94.5 KFM Gun Run 2017,2017-10-08,,,21,06:30:00,Sea Point Promenade,,Cape Town,"-33.900677, 18.402840",-33.900677, 18.402840,http://thegunrun.co.za/
,Gun Run,,Outsurance 94.5 KFM Gun Run 2017,2017-10-08,,,10,07:30:00,Sea Point Promenade,,Cape Town,"-33.900677, 18.402840",-33.900677, 18.402840,http://thegunrun.co.za/
,Gun Run,,Outsurance 94.5 KFM Gun Run 2017,2017-10-08,,,5,08:30:00,Sea Point Promenade,,Cape Town,"-33.900677, 18.402840",-33.900677, 18.402840,http://thegunrun.co.za/
,Silver Queen,,Silver Queen 2017,2017-10-08,,,10,18:15:00,"Air Force Base, Ysterplaat",,Cape Town,"-33.905606, 18.489893",-33.905606, 18.489893,
,Cape Gate 10,,Cape Gate 10 2017,2017-10-14,,,10,06:30:00,"Cape Gate Centre, Brackenfell",,Cape Town,"-33.851738, 18.696086",-33.851738, 18.696086,
,Cape Gate 10,,Cape Gate 10 2017,2017-10-14,,,5,07:15:00,"Cape Gate Centre, Brackenfell",,Cape Town,"-33.851738, 18.696086",-33.851738, 18.696086,
,West Coast Half-Marathon,,West Coast Half-Marathon 2017,2017-10-21,,,21.1,06:00:00,"Eden on the Bay, Big Bay",,Cape Town,"-33.792679, 18.457143",-33.792679, 18.457143,
,West Coast Half-Marathon,,West Coast Half-Marathon 2017,2017-10-21,,,5,06:45:00,"Eden on the Bay, Big Bay",,Cape Town,"-33.792679, 18.457143",-33.792679, 18.457143,
,Ommiedraai ,,Ommiedraai 2017,2017-10-22,,,10,07:00:00,"Rosmead Sports Field, Loch Rd, Claremont",,Cape Town,"-33.989560, 18.483227",-33.989560, 18.483227,
,Ommiedraai ,,Ommiedraai 2017,2017-10-22,,,10,07:00:00,"Rosmead Sports Field, Loch Rd, Claremont",,Cape Town,"-33.989560, 18.483227",-33.989560, 18.483227,
,Ommiedraai ,,Ommiedraai 2017,2017-10-22,,,5,07:15:00,"Rosmead Sports Field, Loch Rd, Claremont",,Cape Town,"-33.989560, 18.483227",-33.989560, 18.483227,
,Elsies Rivier 10,,Elsies Rivier 10 2017,2017-10-28,,,10,06:45:00,"Galaxy Way, Salberau, Elsies Rivier",,Cape Town,"-33.92959, 18.56894",-33.92959, 18.56894,
,Elsies Rivier 10,,Elsies Rivier 10 2017,2017-10-28,,,5,07:15:00,"Galaxy Way, Salberau, Elsies Rivier",,Cape Town,"-33.92959, 18.56894",-33.92959, 18.56894,
,Chappies Challenge ,,Chappies Challenge 2017,2017-10-29,,,21.1,06:30:00,"Hout Bay Yacht Club, Hout Bay Harbour, Hout Bay",,Cape Town,"-34.047999, 18.348319",-34.047999, 18.348319,
,Chappies Challenge ,,Chappies Challenge 2017,2017-10-29,,,10,07:00:00,"Hout Bay Yacht Club, Hout Bay Harbour, Hout Bay",,Cape Town,"-34.047999, 18.348319",-34.047999, 18.348319,
